file,condId,repetition,datetime,dryRun,agent,rateHz,pathDuration,cmdScale,stopReason,nSteps,tEnd,rmsEp,maxEp,loopMean_ms,gitHash,scriptVersion
"R0_v23_repro_r01_20260926_141207.mat","R0_v23_repro",1,"2026-09-26T14:11:34",0,"PPO 10 Hz",10,17,0.35,"completed",169,16.9282,0.0583957,0.16896,100.762,"4388ebb","V2.4"
"R0_v23_repro_r02_20260926_141454.mat","R0_v23_repro",2,"2026-09-26T14:14:27",0,"PPO 10 Hz",10,17,0.35,"completed",170,16.9458,0.0593015,0.169984,100.267,"4388ebb","V2.4"
"T10_nom_r01_20260926_141757.mat","T10_nom",1,"2026-09-26T14:17:37",0,"PPO 10 Hz",10,8.5,1,"completed",85,8.40337,0.0534207,0.158353,100.039,"4388ebb","V2.4"
"T40_cdr_nom_r01_20260926_141831.mat","T40_cdr_nom",1,"2026-09-26T14:18:10",0,"CDR2-4 40 Hz",40,8.5,1,"completed",170,8.47262,0.0537782,0.155707,50.1335,"4388ebb","V2.4"
"T10_nom_r02_20260926_141904.mat","T10_nom",2,"2026-09-26T14:18:45",0,"PPO 10 Hz",10,8.5,1,"completed",86,8.49983,0.055463,0.162989,99.9976,"4388ebb","V2.4"
"T40_cdr_nom_r02_20260926_141934.mat","T40_cdr_nom",2,"2026-09-26T14:19:15",0,"CDR2-4 40 Hz",40,8.5,1,"completed",170,8.47635,0.0533892,0.155012,50.1559,"4388ebb","V2.4"
"T10_nom_r03_20260926_142016.mat","T10_nom",3,"2026-09-26T14:19:57",0,"PPO 10 Hz",10,8.5,1,"completed",85,8.40017,0.053532,0.158314,100.002,"4388ebb","V2.4"
"T40_cdr_nom_r03_20260926_142047.mat","T40_cdr_nom",3,"2026-09-26T14:20:26",0,"CDR2-4 40 Hz",40,8.5,1,"completed",170,8.47597,0.0536823,0.155636,50.1536,"4388ebb","V2.4"
"T10_nom_r04_20260926_142120.mat","T10_nom",4,"2026-09-26T14:21:01",0,"PPO 10 Hz",10,8.5,1,"completed",85,8.40026,0.0524265,0.157008,100.003,"4388ebb","V2.4"
"T40_cdr_nom_r04_20260926_142159.mat","T40_cdr_nom",4,"2026-09-26T14:21:40",0,"CDR2-4 40 Hz",40,8.5,1,"completed",170,8.45454,0.0528871,0.153773,50.0268,"4388ebb","V2.4"
"T40_cdr_nom_r05_20260926_142228.mat","T40_cdr_nom",5,"2026-09-26T14:22:10",0,"CDR2-4 40 Hz",40,8.5,1,"completed",170,8.45454,0.0529083,0.153896,50.0268,"4388ebb","V2.4"
"T10_nom_r05_20260926_142400.mat","T10_nom",5,"2026-09-26T14:23:42",0,"PPO 10 Hz",10,8.5,1,"completed",85,8.40014,0.0525044,0.155972,100.002,"4388ebb","V2.4"
"T40_ppo_nom_r01_20260926_142752.mat","T40_ppo_nom",1,"2026-09-26T14:27:34",0,"PPO 40 Hz (Basis)",40,8.5,1,"completed",170,8.47576,0.0238396,0.0443163,50.1524,"4388ebb","V2.4"
"T40_ppo_nom_r02_20260926_142820.mat","T40_ppo_nom",2,"2026-09-26T14:28:00",0,"PPO 40 Hz (Basis)",40,8.5,1,"completed",169,8.48188,0.024127,0.0428206,50.4874,"4388ebb","V2.4"
"T40_ppo_nom_r03_20260926_142900.mat","T40_ppo_nom",3,"2026-09-26T14:28:40",0,"PPO 40 Hz (Basis)",40,8.5,1,"completed",168,8.45241,0.0244959,0.0416597,50.6132,"4388ebb","V2.4"
"T40_ppo_nom_r04_20260926_142925.mat","T40_ppo_nom",4,"2026-09-26T14:29:05",0,"PPO 40 Hz (Basis)",40,8.5,1,"completed",170,8.47622,0.024345,0.0454491,50.1551,"4388ebb","V2.4"
"T40_ppo_nom_r05_20260926_142950.mat","T40_ppo_nom",5,"2026-09-26T14:29:31",0,"PPO 40 Hz (Basis)",40,8.5,1,"completed",170,8.45445,0.0238281,0.0456129,50.0263,"4388ebb","V2.4"
